subject_curie	subject_name	predicate	object_curie	object_name	supporting_text	supporting_text_id	subject_location_in_text	object_location_in_text	extraction_confidence_score	supporting_document_year	supporting_text_section_type	predicted	support	subject_mentioned	object_mentioned	reasoning	runtime_seconds
DRUGBANK:DB08877	Ruxolitinib	biolink:affects	UniProtKB:P23560	BDNF_HUMAN Brain-derived neurotrophic factor (sprot)	Note that in our current studies BDNF does not significantly increase STAT3 phosphorylation but Ruxo still inhibits the basal state of its activation.	tmkp:13b714cc86109396d6d690f5c07ff93040bf7263cdc8aef7cee07fb6875629fd	[96, 100]	[33, 37]	0.99918073	2019	RESULTS	False	no	True	True	The text mentions both BDNF and Ruxolitinib (as 'Ruxo'), but the described effect is Ruxolitinib inhibiting basal STAT3 activation, not affecting BDNF itself. Therefore, there is no evidence that Ruxolitinib affects BDNF.	16.134697198867798
UniProtKB:Q15306	IRF4_HUMAN Interferon regulatory factor 4 (sprot)	biolink:affects	UniProtKB:P10914	IRF1_HUMAN Interferon regulatory factor 1 (sprot)	IRF4 dose-dependently promotes, whereas IRF1 inhibits, IL-9 production.	tmkp:4371070f8ec766759777b4a7cf2bdde8c593de4d3a4e18f388ef75c7aa99780d	[0, 4]	[40, 44]	0.98099446	2017	paragraph	False	no	True	True	The sentence mentions IRF4 and IRF1, but describes their opposite effects on IL-9 production, not an effect of IRF4 on IRF1. Therefore it does not support the predicate that IRF4 affects IRF1.	9.691913604736328
DRUGBANK:DB00396	Progesterone	biolink:affects	UniProtKB:Q15796	SMAD2_HUMAN Mothers against decapentaplegic homolog 2 (sprot)	In HEC-1A, a marked decrease of TGF-?1, TGF-?R1, total SMAD2/3, and pSMAD2/3 expression was seen following progesterone and progesterone-calcitriol combination.	tmkp:f0849968541286a0d73b8394664bf78838c6cedad47ffdec097892e6a8387e5b	[124, 136]	[55, 60]	0.99972063	2019	RESULTS	True	yes	True	True	The sentence explicitly mentions 'progesterone' and 'total SMAD2/3' (SMAD2) and states that SMAD2 expression decreased following progesterone treatment, indicating a direct effect of progesterone on SMAD2.	11.047117233276367
DRUGBANK:DB00860	Prednisolone	biolink:affects	UniProtKB:Q6P988	NOTUM_HUMAN Palmitoleoyl-protein carboxylesterase NOTUM (sprot)	Furthermore, prednisolone was found to promote Notum expression and osteocytes apoptosis in vitro.	tmkp:e49153f5b51ecc155608f247167a61cffbaf05306cbe1cc6fbfb9d85a0300bb3	[13, 25]	[47, 52]	0.9896656	2021	abstract	True	yes	True	True	The sentence explicitly states that prednisolone (subject) promotes Notum expression (object), indicating a direct effect of the drug on the protein, which matches the 'affects' relationship.	8.928296089172363
CHEBI:2549	Salbutamol	biolink:treats_or_applied_or_studied_to_treat	MONDO:0011122	obesity disorder	We estimated ecap25-75 pre- and post-albuterol treatment in 8-12yo children without (n=28) and with (n=46) obesity.	tmkp:598bec05eb89736806ad67a9896b84ae794573cbde6753d8ee47e1961a6fbeae	[37, 46]	[107, 114]	0.7810621522220615	2020	paragraph	False	maybe	True	True	The sentence mentions albuterol (salbutamol) and obesity, indicating albuterol was administered to obese children, but it does not explicitly state that albuterol is used to treat obesity. The relationship is therefore only suggestive, not directly asserted.	20.817371368408203
DRUGBANK:DB00515	Cisplatin	biolink:contributes_to	HP:0011897	Neutrophilia	Our observations found some histopathological changes in the cisplatin-treated group (moderate to severe inflammation, interstitial nephritis, and mild necrosis) in comparison with the control group that showed normal structure without any evidence of inflammation, necrosis, and atrophy, but a mild degree of neutrophilia and eosinophilia.	tmkp:6af3d1a7b5bd1ab05f110a6d33c12582b147bd6e49b27c5f2e0c22de03a95c8e	[61, 70]	[310, 322]	0.9228504093942698	2018	RESULTS	True	yes	True	True	The text explicitly states that the cisplatin‑treated group exhibited a mild degree of neutrophilia, directly linking cisplatin exposure to the occurrence of neutrophilia, which matches the 'contributes to' relationship.	9.151270627975464
UniProtKB:P53539	FOSB_HUMAN Protein FosB (sprot)	biolink:affects	UniProtKB:P06493	CDK1_HUMAN Cyclin-dependent kinase 1 (sprot)	AHR: Aryl hydrocarbon receptor; AID: Activation-induced deaminase; ALDH1A1: Aldehyde dehydrogenase 1 family, member A1; AML: Acute myeloid leukemia; ANPEP: Alanine aminopeptidase; AP-1: Activator protein-1; ASGR: Asialoglycoprotein receptor; ATF2: Activating transcription factor 2; BIC: B-Cell Integration Cluster; C-MAF: Musculoaponeurotic fibrosarcoma oncogene homolog; C/EBP-Beta: CCAAT/enhancer-binding protein beta; C3: Classical Complement Pathway C3-convertase; CCL5: Chemokine (C-C motif) ligand 5; CCNA2: Cyclin A2; CD40: Cluster of differentiation 40; CDC20: Cell-division cycle protein 20; CDK1: Cyclin-dependent kinase 1; CDK6: Cyclin-dependent kinase 6; CHEK1: Checkpoint kinase 1; CK1-?: Casein kinase 1-?; CLEC7A: C-type lectin domain family 7, member A; DHFR: Dihydrofolate reductase; DLBCL: Diffuse large B-cell lymphoma; DUSP4: Dual specificity protein phosphatase 4; E2F1: Higher Eukaryote Transcription Factor 1; EIF2AK2: Eukaryotic translation initiation factor 2-alpha kinase 2; ERK: Extracellular-signal-regulated kinases (ERKs) or classical MAP kinases; ESPL1: Extra spindle pole bodies homolog 1; ESR1: Estrogen Receptor 1; ETS-1: Erythroblastosis virus E26 oncogene homolog 1; ETS2: v-ets erythroblastosis virus E26 oncogene homolog 2 (avian); FANTOM: Functional ANnoTation Of Mammals; FCER1G: Fc fragment of IgE, high affinity 1 receptor for gamma polypeptide; FOXO3: Forkhead box O3; G6PD: Glucose-6-phosphate dehydrogenase; GADD45A: Growth arrest and DNA-damage-inducible, alpha; GCLM: Glutamate-cysteine ligase, modifier; GLRX: Glutaredoxin (thioltransferase); GSR: Glutathione reductase; GSTM5: Glutathione S-transferase mu 5; GSTO1: Glutathione S-transferase omega 1; HCC: Hepatocellular carcinoma cells; HDAC4: Histone deacetylase 4; HK2: Hexokinase 2; ID2: Inhibitor of DNA binding 2; IDH2: Isocitrate dehydrogenase 2 (NADP+), mitochondrial; IFIH1: Interferon induc	tmkp:a6e552cbdd3e4793bb8b2a26809f1ec55fd5e5be120947c110e7fe06e85eda1e	[180, 184]	[602, 606]	0.9652021	2013	paragraph	False	no	False	True	The text lists many protein names, including CDK1, but does not mention FOSB (or any of its equivalent names). Therefore the required entities are not both present, and no statement about FOSB affecting CDK1 is provided.	5.356657981872559
DRUGBANK:DB00388	Phenylephrine	biolink:affects	UniProtKB:Q08209	PP2BA_HUMAN Protein phosphatase 3 catalytic subunit alpha (sprot)	Ang II, signaling via the angiotensin type 1 (AT1) receptor, and alpha1-adrenergic stimulation with phenylephrine induced CCN1 expression in ventricular cardiomyocytes isolated from 1- to 3-day-old rats.	tmkp:3910cd51712eb005cfa00de186f498bfd901d3751177e4bb76ade820072ac717	[100, 113]	[122, 126]	0.99932325	2004	abstract	False	no	True	False	The text mentions phenylephrine but does not mention the protein phosphatase 3 catalytic subunit alpha (PPP3CA) or any of its equivalent names, so there is no evidence that phenylephrine affects this protein.	4.324049472808838
CHEBI:17754	Glycerin	biolink:affects	UniProtKB:P12830	CADH1_HUMAN Cadherin-1 (sprot)	We found that co-administration of ethanol with glycerol aggravated the harmful effects of glycerol-induced rhabdomyolysis, in that it aggravated kidney damage as indicated by increased renal tubular necrosis scores, increased renal tubular expression of iNOS and NF-?B, and decreased expression of E-cadherin.	tmkp:b503f000c6f24dafe549ffef5d0ba925ded7ba93cb458676147d80840873c803	[48, 56]	[299, 309]	0.9996762	2017	DISCUSS	True	yes	True	True	The text mentions glycerol (equivalent to glycerin) and reports that its co‑administration leads to decreased expression of E‑cadherin, which is the protein product of the CDH1 gene (Cadherin‑1). This constitutes a direct effect of the small molecule on the protein, matching the 'affects' predicate.	7.510748624801636
DRUGBANK:DB00162	Vitamin A	biolink:affects	UniProtKB:P20930	FILA_HUMAN Filaggrin (sprot)	Retinol treatment induced a stepwise increase in epidermal thickness and induced the expression of stratum corneum proteins, filaggrin and KPRP.	tmkp:094cbadbbb1e99bfa7a567adcdb5e6b06d102924422c9c46168b439a9a596dda	[0, 7]	[125, 134]	0.9988907	2022	abstract	True	yes	True	True	The sentence explicitly mentions 'Retinol' (equivalent to Vitamin A) and 'filaggrin', stating that retinol treatment induced the expression of filaggrin, which is a direct effect, matching the 'affects' predicate.	5.346968173980713
DRUGBANK:DB00675	Tamoxifen	biolink:affects	UniProtKB:P43220	GLP1R_HUMAN Glucagon-like peptide 1 receptor (sprot)	We observed that plasma GLP-1 levels, but not c-peptide or FGF21, were significantly increased in the STZ-TMX-treated cKO mice.	tmkp:8126d92cc2e0fa801047c87addee45918f336d6e875460c0b41729e2f523da34	[106, 109]	[24, 29]	0.99943155	2018	RESULTS	False	no	True	False	The sentence mentions tamoxifen (abbreviated as TMX) but refers to plasma GLP-1 peptide levels, not the GLP1R protein. Since the GLP1R receptor is not mentioned, the text does not provide evidence that tamoxifen affects GLP1R.	6.670666456222534
CHEBI:31647	GEMCITABINE HYDROCHLORIDE	biolink:treats_or_applied_or_studied_to_treat	MONDO:0004992	cancer	It has been shown that the anticancer mode of action of gemcitabine hydrochloride includes the ROS generation in the cancer cells.	tmkp:7bd5ed787725ba603954d0df9fdb43ba5024c92b042119b8751d06752dffeda7	[56, 81]	[117, 123]	0.3723664369503896	2021	INTRO	True	yes	True	True	The sentence explicitly mentions gemcitabine hydrochloride and cancer (cancer cells) and states that gemcitabine hydrochloride has an anticancer mode of action, indicating it is used to treat or studied for treating cancer.	12.054599046707153
DRUGBANK:DB13919	Candesartan	biolink:affects	UniProtKB:P02768	Albumin human	CS reduced urinary albumin excretion (57 +/- 123 to 26 +/- 33 mg/g creatinine, p<0.05), but AML did not bring about significant changes (85 +/- 27 to 73 +/- 19 mg/g creatinine).	tmkp:9b4e3d015293b6b594711381ccd8eeca5ae3bd51fd805b37d1c8251a8be5a87f	[0, 2]	[19, 26]	0.9997135	2005	abstract	False	no	False	True	The text mentions 'albumin' (object) but does not mention candesartan or any of its listed equivalents; 'CS' is not a recognized synonym for candesartan. Therefore the required subject is absent, and the triple is not supported.	11.048805236816406
DRUGBANK:DB03904	Urea	biolink:treats_or_applied_or_studied_to_treat	MONDO:0006684	brain edema	Urea has been used in patients with severe symptoms as it promotes rapid reduction of brain edema without the risk of salt overload that accompany hypertonic saline, however, it is not well tolerated due to poor palatability and the need for concomitant fluid restriction to achieve good results.	tmkp:c12de514cdd5e04fe6631d6aeda03b337b32880124267e9cad72808c8d34c08b	[0, 4]	[86, 97]	0.6955850875847563	2009	INTRO	True	yes	True	True	The sentence explicitly states that urea has been used in patients to promote rapid reduction of brain edema, indicating it is applied to treat the condition.	5.230703353881836
DRUGBANK:DB08809	Dichloroacetic acid	biolink:treats_or_applied_or_studied_to_treat	MONDO:0001657	brain cancer	Dichloroacetate (DCA) is a novel metabolic modulator that has shown in pre-clinical studies to trigger apoptosis of human lung, breast, and brain cancer cells.	tmkp:11d533956f293ad7078513aff9af1c10581b01f63385a95afed9fabcfddae48f	[0, 15]	[140, 152]	0.8084529965384966	2019	paragraph	True	yes	True	True	The text mentions Dichloroacetate (a synonym for dichloroacetic acid) and brain cancer cells, and states that pre‑clinical studies showed it triggers apoptosis in those cells, which aligns with a studied therapeutic effect on brain cancer.	12.89152717590332
DRUGBANK:DB00980	Ramelteon	biolink:affects	UniProtKB:P19838	NFKB1_HUMAN Nuclear factor NF-kappa-B p105 subunit (sprot)	The present study results show that melatonin or ramelteon treatment inhibits the expression of NF-?B and iNOS.	tmkp:73c8094fab01fd8cca4457da3bb67060ae3115185e2e111d58acc6e326b5ca3d	[49, 58]	[96, 101]	0.9997174	2020	DISCUSS	False	no	True	False	The text mentions ramelteon, satisfying the subject requirement, and states that ramelteon inhibits NF-?B expression, which is an effect. However, the object NFkB1 (P19838) is not explicitly referenced; only a generic NF-κB term is used, which does not match any of the provided equivalent names for NFkB1. Since both entities must be explicitly mentioned, the triple is not supported.	19.553556203842163
UniProtKB:Q7LFL8	CXXC5_HUMAN CXXC-type zinc finger protein 5 (sprot)	biolink:affects	UniProtKB:P56704	WNT3A_HUMAN Protein Wnt-3a (sprot)	CXXC5 is a negative feedback regulator of the Wnt/?-catenin pathway functioning via Wnt3a-dependent Dvl interaction   	tmkp:e0688600ee6fed0573847f9262ce69c8a9868871920cb81c1ca64d21538a1b12	[0, 5]	[84, 89]	0.980607	2015	RESULTS	False	maybe	True	True	The text mentions both CXXC5 and Wnt3a, but only states that CXXC5 is a negative feedback regulator of the Wnt/β‑catenin pathway acting via a Wnt3a‑dependent interaction. It does not explicitly say CXXC5 directly affects Wnt3a, making the support indirect/ambiguous.	28.20536494255066
CHEBI:9180	SODIUM SALICYLATE	biolink:affects	UniProtKB:P35354	PGH2_HUMAN Prostaglandin G/H synthase 2 (sprot)	To further assess the involvement of cytokines in the AR-mediated upregulation of SAA, a different group of animals was simultaneously treated with AR agonists and the non-steroidal anti-inflammatory drug, sodium salicylate, known to reduce pro-inflammatory cytokine synthesis in macrophages and to inhibit the production of COX2/PG/PKA, downstream elements in IL-1?-related pathways.	tmkp:fe1b2a07749b944e9527a770dffd261d651a773b77aac1078972b78e70958790	[206, 223]	[325, 329]	0.99973136	2019	RESULTS	True	yes	True	True	The text explicitly mentions sodium salicylate and states it inhibits the production of COX2, which is the common abbreviation for PTGS2 (the protein encoded by the PTGS2 gene). This constitutes a direct effect of the subject on the object, satisfying the 'affects' predicate.	10.508063077926636
DRUGBANK:DB15323	Trelagliptin	biolink:affects	UniProtKB:Q15848	ADIPO_HUMAN Adiponectin (sprot)	In the present study, decreasing tendencies, although not statistically significant, were noted in body weight and BMI following trelagliptin administration, and adiponectin increased significantly.	tmkp:8148ca518c97769078f253f3c685deb66c75c890eb9b76fbcdbac310d3940935	[129, 141]	[162, 173]	0.9994784	2016	DISCUSS	True	yes	True	True	The sentence explicitly mentions trelagliptin and adiponectin, stating that adiponectin increased significantly after trelagliptin administration, indicating a direct effect of the drug on the protein.	7.5496368408203125
DRUGBANK:DB15251	Antipain	biolink:treats_or_applied_or_studied_to_treat	MONDO:0004992	cancer	Protease inhibitors, such as antipain, leupeptin and chymostatin have also find important applications in the treatment of AIDS, hepatitis, pancreatitis and cancer.	tmkp:8952bf2a1795a9115467a6ef4ff920c394dfcb5e51bb143d5d8f0fbc79c0615e	[29, 37]	[157, 163]	0.31487646748204495	2017	paragraph	True	yes	True	True	The text explicitly mentions 'antipain' and states it has important applications in the treatment of cancer, directly supporting the predicate that antipain treats or is applied to treat cancer.	7.3386430740356445
CHEBI:10136	gingerol	biolink:affects	UniProtKB:Q8NER1	TRPV1_HUMAN Transient receptor potential cation channel subfamily V member 1 (sprot)	In addition, TRPV1 is activated by some compounds in garlic, onion, black pepper, and other foods, such as gingerol.	tmkp:57f276e5edbc28b1ba7d7f8ef99af3a3d01f4c97c4d13a49a2321616b1112788	[107, 115]	[13, 18]	0.999503	2021	INTRO	True	yes	True	True	The sentence explicitly states that gingerol activates TRPV1, indicating gingerol has an effect on the TRPV1 protein. Both entities are mentioned, and activation fits the definition of 'affects'.	8.449088335037231
DRUGBANK:DB12449	Tempol	biolink:affects	UniProtKB:P01584	IL1B_HUMAN Interleukin-1 beta (sprot)	In the present study, the results showed that Rg1, tempol and apocynin treatments significantly decreased LDH release, ROS generation and IL-1? expression compared with the LPS group in HT22 cells.	tmkp:3df51f3d67a9dc95c07dafc60a46d70b9a4aac7ace22ef5866b71f1fe5919dcc	[51, 57]	[138, 143]	0.99972254	2021	DISCUSS	True	yes	True	True	The sentence explicitly mentions 'tempol' and reports that it significantly decreased IL-1 expression, indicating a direct effect of the drug on the interleukin-1 beta protein.	12.686086416244507
DRUGBANK:DB00047	Insulin glargine	biolink:contributes_to	MONDO:0022578	childhood bladder carcinoma	In analysis of studies that reported the risk of gastrointestinal cancer, colorectal cancer, hepatobiliary cancer and bladder cancer in insulin glargine users, the overall ORs and corresponding 95% CIs were 0.70 (95% 0.51 to 0.95, P?=?0.023), 0.69 (95% 0.56 to 0.85, P?=?0.001), 0.51 (95% 0.37 to 0.70, P?=?0.000) and 0.60 (95% 0.37 to 0.99, P?=?0.046) in a random-effects model, respectively.	tmkp:2c3dfa484d8a30988680972583d4c18e0565599297d48a76b5e2ed20d51c39fa	[136, 152]	[118, 132]	0.8021639702286131	2012	paragraph	False	no	True	False	The text mentions insulin glargine and bladder cancer generally, but does not mention childhood bladder carcinoma. Moreover, it reports a reduced risk (OR < 1), which does not support a contribution of insulin glargine to the disease.	7.738392353057861
UniProtKB:P57103	NAC3_HUMAN Sodium/calcium exchanger 3 (sprot)	biolink:affects	UniProtKB:Q6N021	TET2_HUMAN Methylcytosine dioxygenase TET2 (sprot)	Slc8a3 partially rescues the myogenic capacity of TET2-KO MuSCs.	tmkp:c538800158b9badd475ef9eab0cffcda3e2a7bebd0aadc729d4dc1689f1c3a59	[0, 6]	[50, 54]	0.97231525	2022	RESULTS	True	yes	True	True	The sentence explicitly mentions Slc8a3 (subject) and TET2 (object) and states that Slc8a3 partially rescues the myogenic capacity of TET2‑KO cells, indicating a direct effect of the subject on the state/quality of the object.	17.7269070148468
DRUGBANK:DB09341	D-glucose	biolink:affects	UniProtKB:Q9GZU1	MCLN1_HUMAN Mucolipin-1 (sprot)	The expression of IGF2R, MCOLN1, NEU1, NPC2 and SQSTM1 was induced at all 3 concentrations of glucose whereas the expression of RRAGD was only induced at 11 mM glucose.	tmkp:820574ebefaf5f24242440795447ef5072793a642b5d5fb2f7f55bbcb55ba9c5	[94, 101]	[25, 31]	0.99943596	2021	paragraph	True	yes	True	True	The sentence states that glucose (the subject) induced the expression of MCOLN1 (the object) at all concentrations, directly indicating that glucose has an effect on MCOLN1.	10.479976654052734
DRUGBANK:DB11823	Esketamine	biolink:affects	UniProtKB:Q96EB6	SIR1_HUMAN NAD-dependent protein deacetylase sirtuin-1 (sprot)	S-ketamine upregulated the SIRT1-mediated BDNF in mPFC and reversed the synaptic structural defects caused by CUS.	tmkp:b1f4a830632fa062a790eaaeee1ebafbb60e1a7e8ecb7c83a9ec6fe3ef51d6be	[0, 10]	[27, 32]	0.99947244	2022	ABSTRACT	True	yes	True	True	The sentence explicitly mentions S-ketamine (equivalent to esketamine) and SIRT1, and states that S-ketamine upregulated the SIRT1-mediated BDNF, indicating a direct effect of the drug on the protein's activity, which matches the 'affects' predicate.	17.377802848815918
DRUGBANK:DB12029	Chlorogenic Acid	biolink:treats_or_applied_or_studied_to_treat	MONDO:0004471	bacterial arthritis	Chlorogenic acid, a polyphenolic compound, treats mice with septic arthritis caused by Candida albicans	tmkp:4caa9266e50684ecbd39a5994a5f0d7c736ea02a856cfd21317d4826f4c6fe9d	[0, 16]	[60, 76]	0.8670736422533161	2019	reference	True	yes	True	True	The sentence explicitly states that chlorogenic acid treats mice with septic arthritis, directly linking the subject (chlorogenic acid) to the object (septic/bacterial arthritis) in a treatment context.	10.888151407241821
DRUGBANK:DB01067	Glipizide	biolink:affects	UniProtKB:P01308	INS_HUMAN Insulin (sprot)	There was an observable significant decrease (p?<?0.0001) between the animals that received riboceine, and insulin compared to those that received vildagliptin, glibenclamide, metformin and glipizide.	tmkp:6b6bdc8d8ad0c70ee702c8b1596f7a05665e45b33e9e4ed79eba11875cfd6382	[190, 199]	[107, 114]	0.99970764	2018	paragraph	False	no	True	True	Both glipizide and insulin are mentioned, but the sentence only compares outcomes between groups receiving each; it does not state that glipizide directly affects insulin, so the triple is not supported.	14.724655389785767
